series_id,name,units,type,month
A3533961A,Current Prices ;  Total goods debits,$ Millions,Original,3
A3533751C,Current Prices ;  General merchandise,$ Millions,Original,3
A3533772R,Current Prices ;  Consumption goods,$ Millions,Original,3
A3533731V,"Current Prices ;  Food and beverages, mainly for consumption",$ Millions,Original,3
A3533851L,Current Prices ;  Household electrical items,$ Millions,Original,3
A3533900W,Current Prices ;  Non-industrial transport equipment,$ Millions,Original,3
A3533852R,"Current Prices ;  Textiles, clothing and footwear",$ Millions,Original,3
A3533980J,"Current Prices ;  Toys, books and leisure goods",$ Millions,Original,3
A3533704L,Current Prices ;  Consumption goods n.e.s.,$ Millions,Original,3
A3533811V,Current Prices ;  Capital goods,$ Millions,Original,3
A3534024A,Current Prices ;  Machinery and industrial equipment,$ Millions,Original,3
A3533705R,Current Prices ;  ADP equipment,$ Millions,Original,3
A3533833J,Current Prices ;  Telecommunications equipment,$ Millions,Original,3
A3533962C,Current Prices ;  Civil aircraft and confidentialised items,$ Millions,Original,3
A3533901X,Current Prices ;  Industrial transport equipment n.e.s.,$ Millions,Original,3
A3533732W,Current Prices ;  Capital goods n.e.s.,$ Millions,Original,3
A3533902A,Current Prices ;  Intermediate and other merchandise goods,$ Millions,Original,3
A3533687W,"Current Prices ;  Food and beverages, mainly for industry",$ Millions,Original,3
A3533706T,Current Prices ;  Primary industrial supplies n.e.s.,$ Millions,Original,3
A3533752F,Current Prices ;  Fuels and lubricants,$ Millions,Original,3
A3533963F,Current Prices ;  Parts for transport equipment,$ Millions,Original,3
A3533812W,Current Prices ;  Parts for ADP equipment,$ Millions,Original,3
A3533773T,Current Prices ;  Other parts for capital goods,$ Millions,Original,3
A3533834K,Current Prices ;  Organic and inorganic chemicals,$ Millions,Original,3
A3533929A,Current Prices ;  Paper and paperboard,$ Millions,Original,3
A3533753J,Current Prices ;  Textile yarn and fabrics,$ Millions,Original,3
A3533981K,Current Prices ;  Iron and steel,$ Millions,Original,3
A3533813X,Current Prices ;  Plastics,$ Millions,Original,3
A3533814A,Current Prices ;  Processed industrial supplies n.e.s.,$ Millions,Original,3
A3533903C,Current Prices ;  Other merchandise goods,$ Millions,Original,3
A3533982L,Current Prices ;  Goods procured in ports by carriers,$ Millions,Original,3
A3533754K,Current Prices ;  Non-monetary gold,$ Millions,Original,3
A3535215K,Current Prices ;  Total goods debits,$ Millions,Seasonally Adjusted,3
A3535216L,Current Prices ;  General merchandise,$ Millions,Seasonally Adjusted,3
A3535217R,Current Prices ;  Consumption goods,$ Millions,Seasonally Adjusted,3
A3535218T,"Current Prices ;  Food and beverages, mainly for consumption",$ Millions,Seasonally Adjusted,3
A3535219V,Current Prices ;  Household electrical items,$ Millions,Seasonally Adjusted,3
A3535220C,Current Prices ;  Non-industrial transport equipment,$ Millions,Seasonally Adjusted,3
A3535221F,"Current Prices ;  Textiles, clothing and footwear",$ Millions,Seasonally Adjusted,3
A3535222J,"Current Prices ;  Toys, books and leisure goods",$ Millions,Seasonally Adjusted,3
A3535223K,Current Prices ;  Consumption goods n.e.s.,$ Millions,Seasonally Adjusted,3
A3535224L,Current Prices ;  Capital goods,$ Millions,Seasonally Adjusted,3
A3535225R,Current Prices ;  Machinery and industrial equipment,$ Millions,Seasonally Adjusted,3
A3535226T,Current Prices ;  ADP equipment,$ Millions,Seasonally Adjusted,3
A3535227V,Current Prices ;  Telecommunications equipment,$ Millions,Seasonally Adjusted,3
A3535228W,Current Prices ;  Civil aircraft and confidentialised items,$ Millions,Seasonally Adjusted,3
A3535229X,Current Prices ;  Industrial transport equipment n.e.s.,$ Millions,Seasonally Adjusted,3
A3535230J,Current Prices ;  Capital goods n.e.s.,$ Millions,Seasonally Adjusted,3
A3535231K,Current Prices ;  Intermediate and other merchandise goods,$ Millions,Seasonally Adjusted,3
A3535232L,"Current Prices ;  Food and beverages, mainly for industry",$ Millions,Seasonally Adjusted,3
A3535233R,Current Prices ;  Primary industrial supplies n.e.s.,$ Millions,Seasonally Adjusted,3
A3535234T,Current Prices ;  Fuels and lubricants,$ Millions,Seasonally Adjusted,3
A3535235V,Current Prices ;  Parts for transport equipment,$ Millions,Seasonally Adjusted,3
A3535236W,Current Prices ;  Parts for ADP equipment,$ Millions,Seasonally Adjusted,3
A3535237X,Current Prices ;  Other parts for capital goods,$ Millions,Seasonally Adjusted,3
A3535238A,Current Prices ;  Organic and inorganic chemicals,$ Millions,Seasonally Adjusted,3
A3535239C,Current Prices ;  Paper and paperboard,$ Millions,Seasonally Adjusted,3
A3535240L,Current Prices ;  Textile yarn and fabrics,$ Millions,Seasonally Adjusted,3
A3535241R,Current Prices ;  Iron and steel,$ Millions,Seasonally Adjusted,3
A3535242T,Current Prices ;  Plastics,$ Millions,Seasonally Adjusted,3
A3535243V,Current Prices ;  Processed industrial supplies n.e.s.,$ Millions,Seasonally Adjusted,3
A3535244W,Current Prices ;  Other merchandise goods,$ Millions,Seasonally Adjusted,3
A3535245X,Current Prices ;  Goods procured in ports by carriers,$ Millions,Seasonally Adjusted,3
A3535246A,Current Prices ;  Non-monetary gold,$ Millions,Seasonally Adjusted,3
A3535061F,Chain Volume Measures ;  Total goods debits,$ Millions,Seasonally Adjusted,3
A3535062J,Chain Volume Measures ;  General merchandise,$ Millions,Seasonally Adjusted,3
A3535063K,Chain Volume Measures ;  Consumption goods,$ Millions,Seasonally Adjusted,3
A3535064L,"Chain Volume Measures ;  Food and beverages, mainly for consumption",$ Millions,Seasonally Adjusted,3
A3535065R,Chain Volume Measures ;  Household electrical items,$ Millions,Seasonally Adjusted,3
A3535066T,Chain Volume Measures ;  Non-industrial transport equipment,$ Millions,Seasonally Adjusted,3
A3535067V,"Chain Volume Measures ;  Textiles, clothing and footwear",$ Millions,Seasonally Adjusted,3
A3535068W,"Chain Volume Measures ;  Toys, books and leisure goods",$ Millions,Seasonally Adjusted,3
A3535069X,Chain Volume Measures ;  Consumption goods n.e.s.,$ Millions,Seasonally Adjusted,3
A3535070J,Chain Volume Measures ;  Capital goods,$ Millions,Seasonally Adjusted,3
A3535071K,Chain Volume Measures ;  Machinery and industrial equipment,$ Millions,Seasonally Adjusted,3
