Date,NSA Value,SA Value
2018-09-30,153.50737,152.106863
2018-08-31,153.1190173,151.32864335
2018-07-31,152.47454706,150.27178157
2018-06-30,152.13329146,149.78412758
2018-05-31,151.43355112,149.30076117
2018-04-30,150.218313,149.01289339
2018-03-31,148.51231137,148.27894419
2018-02-28,146.66036933,147.33782206
2018-01-31,145.60755168,146.73698489
2017-12-31,145.36656335,146.1002928
2017-11-30,145.17447285,145.32013235
2017-10-31,145.06345957,144.42800166
2017-09-30,144.88987926,143.5963659
2017-08-31,144.78416052,143.06660713
2017-07-31,144.81051256,142.68760608
2017-06-30,144.82489181,142.56553485
2017-05-31,144.4614837,142.45414586
2017-04-30,143.0185191,141.9201431
2017-03-31,141.27018103,141.07964746
2017-02-28,140.1528535,140.78632213
2017-01-31,139.26801488,140.3280713
2016-12-31,139.02034989,139.72444239
2016-11-30,139.66355273,139.78914279
2016-10-31,140.43319025,139.82064661
2016-09-30,140.91717955,139.67452309
2016-08-31,141.01650454,139.30166601
2016-07-31,140.82795338,138.71430608
2016-06-30,140.46413711,138.24926791
2016-05-31,139.61104629,137.71651459
2016-04-30,138.35203242,137.36131287
2016-03-31,137.31614095,137.16815372
2016-02-29,136.24047919,136.86844496
2016-01-31,135.2284677,136.21769909
2015-12-31,135.03372004,135.70285613
2015-11-30,135.35025748,135.44808537
2015-10-31,135.50549722,134.93330009
2015-09-30,135.52231115,134.35973207
2015-08-31,135.90376365,134.21406287
2015-07-31,136.29379853,134.1726585
2015-06-30,135.87069604,133.67750471
2015-05-31,134.93507258,133.11284476
2015-04-30,134.09116273,133.18988032
2015-03-31,133.31009131,133.2551211
2015-02-28,132.56295015,133.24123985
2015-01-31,132.34340449,133.26889082
2014-12-31,132.64763301,133.26674006
2014-11-30,133.07239624,133.16687758
2014-10-31,133.59435401,133.06660704
2014-09-30,134.18992279,133.05530694
2014-08-31,134.63098096,132.91892608
2014-07-31,135.02422636,132.84757653
2014-06-30,135.24431572,132.99828168
2014-05-31,134.95765966,133.12088426
2014-04-30,134.22093676,133.31819628
2014-03-31,133.15767715,133.16295577
2014-02-28,132.21745266,132.99171975
2014-01-31,131.90853236,132.82799061
2013-12-31,131.94862465,132.54627029
2013-11-30,132.07095564,132.18429577
2013-10-31,132.41803424,131.95645515
2013-09-30,132.71677377,131.64145805
2013-08-31,132.87347239,131.16295174
2013-07-31,132.85645493,130.60781042
