0,A3533961A,Current Prices ;  Total goods debits,$ Millions,Original,3
1,A3533751C,Current Prices ;  General merchandise,$ Millions,Original,3
2,A3533772R,Current Prices ;  Consumption goods,$ Millions,Original,3
3,A3533731V,"Current Prices ;  Food and beverages, mainly for consumption",$ Millions,Original,3
4,A3533851L,Current Prices ;  Household electrical items,$ Millions,Original,3
5,A3533900W,Current Prices ;  Non-industrial transport equipment,$ Millions,Original,3
6,A3533852R,"Current Prices ;  Textiles, clothing and footwear",$ Millions,Original,3
7,A3533980J,"Current Prices ;  Toys, books and leisure goods",$ Millions,Original,3
8,A3533704L,Current Prices ;  Consumption goods n.e.s.,$ Millions,Original,3
9,A3533811V,Current Prices ;  Capital goods,$ Millions,Original,3
10,A3534024A,Current Prices ;  Machinery and industrial equipment,$ Millions,Original,3
11,A3533705R,Current Prices ;  ADP equipment,$ Millions,Original,3
12,A3533833J,Current Prices ;  Telecommunications equipment,$ Millions,Original,3
13,A3533962C,Current Prices ;  Civil aircraft and confidentialised items,$ Millions,Original,3
14,A3533901X,Current Prices ;  Industrial transport equipment n.e.s.,$ Millions,Original,3
15,A3533732W,Current Prices ;  Capital goods n.e.s.,$ Millions,Original,3
16,A3533902A,Current Prices ;  Intermediate and other merchandise goods,$ Millions,Original,3
17,A3533687W,"Current Prices ;  Food and beverages, mainly for industry",$ Millions,Original,3
18,A3533706T,Current Prices ;  Primary industrial supplies n.e.s.,$ Millions,Original,3
19,A3533752F,Current Prices ;  Fuels and lubricants,$ Millions,Original,3
20,A3533963F,Current Prices ;  Parts for transport equipment,$ Millions,Original,3
21,A3533812W,Current Prices ;  Parts for ADP equipment,$ Millions,Original,3
22,A3533773T,Current Prices ;  Other parts for capital goods,$ Millions,Original,3
23,A3533834K,Current Prices ;  Organic and inorganic chemicals,$ Millions,Original,3
24,A3533929A,Current Prices ;  Paper and paperboard,$ Millions,Original,3
25,A3533753J,Current Prices ;  Textile yarn and fabrics,$ Millions,Original,3
26,A3533981K,Current Prices ;  Iron and steel,$ Millions,Original,3
27,A3533813X,Current Prices ;  Plastics,$ Millions,Original,3
28,A3533814A,Current Prices ;  Processed industrial supplies n.e.s.,$ Millions,Original,3
29,A3533903C,Current Prices ;  Other merchandise goods,$ Millions,Original,3
30,A3533982L,Current Prices ;  Goods procured in ports by carriers,$ Millions,Original,3
31,A3533754K,Current Prices ;  Non-monetary gold,$ Millions,Original,3
32,A3535215K,Current Prices ;  Total goods debits,$ Millions,Seasonally Adjusted,3
33,A3535216L,Current Prices ;  General merchandise,$ Millions,Seasonally Adjusted,3
34,A3535217R,Current Prices ;  Consumption goods,$ Millions,Seasonally Adjusted,3
35,A3535218T,"Current Prices ;  Food and beverages, mainly for consumption",$ Millions,Seasonally Adjusted,3
36,A3535219V,Current Prices ;  Household electrical items,$ Millions,Seasonally Adjusted,3
37,A3535220C,Current Prices ;  Non-industrial transport equipment,$ Millions,Seasonally Adjusted,3
